mes_numero,dia_numero,tipo_dia,lectura_biblica,versiculo_diario
6,12,"NORMAL","Colosenses 3:20",""
6,13,"DOMINGO","","Reflexión: Paternidad espiritual y la visión de la Iglesia."
6,14,"NORMAL","1 Pedro 2:17",""
6,15,"NORMAL","Romanos 12:13",""
6,16,"NORMAL","Gálatas 6:6",""
6,17,"NORMAL","1 Tesalonicenses 5:12-13",""
6,18,"NORMAL","Lucas 14:12-14",""
6,19,"NORMAL","Proverbios 15:33",""
6,20,"DOMINGO","","Reflexión: Honra a los líderes y la bendición de la sujeción."
6,21,"NORMAL","Salmos 133:1-3",""
6,22,"NORMAL","Juan 13:34-35",""
6,23,"NORMAL","Romanos 14:10",""
6,24,"NORMAL","1 Corintios 10:24",""
6,25,"NORMAL","Efesios 4:2-3",""
6,26,"NORMAL","Hebreos 13:17",""
6,27,"DOMINGO","","Reflexión: El amor fraternal como el más alto nivel de honra."
6,28,"NORMAL","Proverbios 22:4",""
6,29,"NORMAL","1 Pedro 5:5-6",""
6,30,"NORMAL","Malaquías 1:6",""
7,1,"NORMAL","Efesios 6:10-18",""
7,2,"NORMAL","Santiago 4:7-10",""
7,3,"NORMAL","1 Pedro 5:8-10",""
7,4,"DOMINGO","","Reflexión: Las armas espirituales y la armadura de Dios."
7,5,"NORMAL","Hechos 19:11-20",""
7,6,"NORMAL","Mateo 18:18-20",""
7,7,"NORMAL","Marcos 3:23-27",""
7,8,"NORMAL","Lucas 10:19",""
7,9,"NORMAL","2 Timoteo 4:18",""
7,10,"NORMAL","Romanos 8:37-39",""
7,11,"DOMINGO","","Reflexión: Autoridad del creyente sobre el reino de las tinieblas."
7,12,"NORMAL","Isaías 54:17",""
7,13,"NORMAL","Apocalipsis 12:10-11",""
7,14,"NORMAL","Juan 14:30-31",""
7,15,"NORMAL","2 Tesalonicenses 3:3",""
7,16,"NORMAL","Colosenses 2:15",""
7,17,"NORMAL","Zacarías 3:1-7",""
7,18,"DOMINGO","","Reflexión: La Palabra, la Sangre y el Testimonio como estrategia."
7,19,"NORMAL","Deuteronomio 28:7",""
7,20,"NORMAL","Salmos 91:1-16",""
7,21,"NORMAL","Hebreos 2:14-15",""
7,22,"NORMAL","Juan 8:36",""
7,23,"NORMAL","Isaías 41:10-13",""
7,24,"NORMAL","Hechos 16:25-34",""
7,25,"DOMINGO","","Reflexión: El poder de la intercesión y la liberación."
7,26,"NORMAL","1 Juan 4:4",""
7,27,"NORMAL","Romanos 16:20",""
7,28,"NORMAL","Josué 1:9",""
7,29,"NORMAL","Salmos 59:1-5",""
7,30,"NORMAL","2 Corintios 2:14",""
7,31,"NORMAL","Mateo 16:18",""
8,1,"NORMAL","Malaquías 3:8-12",""
8,2,"NORMAL","Proverbios 3:9-10",""
8,3,"NORMAL","Lucas 6:38",""
8,4,"NORMAL","2 Corintios 9:6-11",""
8,5,"NORMAL","Filipenses 4:19",""
8,6,"NORMAL","Génesis 26:12-14",""
8,7,"NORMAL","Deuteronomio 8:18",""
8,8,"DOMINGO","","Reflexión: La prioridad del Reino sobre las finanzas."
8,9,"NORMAL","Mateo 6:24-34",""
8,10,"NORMAL","Salmos 23:1-6",""
8,11,"NORMAL","Proverbios 10:4",""
8,12,"NORMAL","1 Timoteo 6:10-12",""
8,13,"NORMAL","Hebreos 13:5",""
8,14,"NORMAL","Mateo 25:14-30",""
8,15,"DOMINGO","","Reflexión: Siembra y Cosecha: Principios de la mayordomía."
8,16,"NORMAL","Gálatas 6:7-10",""
8,17,"NORMAL","Lucas 16:10-13",""
8,18,"NORMAL","Proverbios 22:7",""
8,19,"NORMAL","Deuteronomio 28:1-14",""
8,20,"NORMAL","Isaías 1:19",""
8,21,"NORMAL","Romanos 13:8",""
8,22,"DOMINGO","","Reflexión: Deudas, Préstamos y Sabiduría Financiera."
8,23,"NORMAL","Proverbios 11:24-25",""
8,24,"NORMAL","2 Corintios 8:7",""
8,25,"NORMAL","Hechos 4:32-35",""
8,26,"NORMAL","Efesios 4:28",""
8,27,"NORMAL","1 Crónicas 29:11-12",""
8,28,"NORMAL","Mateo 7:11",""
8,29,"DOMINGO","","Reflexión: La Generosidad y la Multiplicación en el Reino."
8,30,"NORMAL","Salmos 37:25-26",""
8,31,"NORMAL","Juan 15:5",""
9,1,"NORMAL","Mateo 6:5-15",""
9,2,"NORMAL","Lucas 11:1-13",""
9,3,"NORMAL","Santiago 5:13-18",""
9,4,"NORMAL","1 Juan 5:14-15",""
9,5,"DOMINGO","","Reflexión: La intercesión por nuestra ciudad y nación."
9,6,"NORMAL","Marcos 11:24",""
9,7,"NORMAL","Juan 15:7",""
9,8,"NORMAL","Colosenses 4:2",""
9,9,"NORMAL","Efesios 6:18",""
9,10,"NORMAL","Hechos 4:31",""
9,11,"NORMAL","Romanos 8:26-27",""
9,12,"DOMINGO","","Reflexión: Orar en el Espíritu y la oración por misterios."
9,13,"NORMAL","Lucas 18:1-8",""
9,14,"NORMAL","1 Tesalonicenses 5:17",""
9,15,"NORMAL","Salmos 5:1-3",""
9,16,"NORMAL","Jeremías 33:3",""
9,17,"NORMAL","Hebreos 4:16",""
9,18,"NORMAL","Filipenses 4:6-7",""
9,19,"DOMINGO","","Reflexión: El ayuno y la oración como disciplinas de poder."
9,20,"NORMAL","Mateo 21:21-22",""
9,21,"NORMAL","Isaías 59:1-2",""
9,22,"NORMAL","Ezequiel 22:30",""
9,23,"NORMAL","Nehemías 1:1-11",""
9,24,"NORMAL","Hechos 12:5-19",""
9,25,"NORMAL","2 Crónicas 7:14",""
9,26,"DOMINGO","","Reflexión: La unidad en la oración y la respuesta de Dios."
9,27,"NORMAL","Juan 17:1-26",""
9,28,"NORMAL","Salmos 42:1-11",""
9,29,"NORMAL","Daniel 9:3-19",""
9,30,"NORMAL","Hechos 1:14",""
10,1,"NORMAL","Colosenses 3:23-24",""
10,2,"NORMAL","1 Corintios 10:31",""
10,3,"DOMINGO","","Reflexión: El trabajo con excelencia como forma de adoración."
10,4,"NORMAL","2 Timoteo 2:15",""
10,5,"NORMAL","Mateo 25:21",""
10,6,"NORMAL","Proverbios 12:24",""
10,7,"NORMAL","Romanos 12:11",""
10,8,"NORMAL","1 Corintios 15:58",""
10,9,"NORMAL","Efesios 4:1-3",""
10,10,"DOMINGO","","Reflexión: Descubriendo y usando nuestros dones espirituales en el servicio."
10,11,"NORMAL","Filipenses 2:14-16",""
10,12,"NORMAL","Tito 2:7-8",""
10,13,"NORMAL","1 Pedro 4:10-11",""
10,14,"NORMAL","Romanos 12:6-8",""
10,15,"NORMAL","1 Corintios 12:4-7",""
10,16,"NORMAL","Efesios 2:10",""
10,17,"DOMINGO","","Servir con diligencia y pasión, no por obligación."
10,18,"NORMAL","Hebreos 6:10",""
10,19,"NORMAL","Gálatas 6:9-10",""
10,20,"NORMAL","Proverbios 22:29",""
10,21,"NORMAL","1 Timoteo 4:12",""
10,22,"NORMAL","Lucas 19:17",""
10,23,"NORMAL","Juan 13:1-5",""
10,24,"DOMINGO","","El servicio al prójimo y el testimonio."
10,25,"NORMAL","Salmos 100:1-5",""
10,26,"NORMAL","Mateo 5:16",""
10,27,"NORMAL","2 Corintios 8:12",""
10,28,"NORMAL","1 Corintios 9:24-27",""
10,29,"NORMAL","Proverbios 14:23",""
10,30,"NORMAL","Hebreos 10:24-25",""
10,31,"NORMAL","Lucas 17:10",""
11,1,"NORMAL","Hechos 2:42-47",""
11,2,"NORMAL","Romanos 15:5-7",""
11,3,"NORMAL","Efesios 4:31-32",""
11,4,"NORMAL","Colosenses 3:12-14",""
11,5,"NORMAL","1 Pedro 3:8-9",""
11,6,"NORMAL","Romanos 12:10",""
11,7,"DOMINGO","","Reflexión: La importancia de los encuentros de amistad."
11,8,"NORMAL","Hebreos 10:24-25",""
11,9,"NORMAL","Filipenses 2:1-4",""
11,10,"NORMAL","1 Corintios 12:12-27",""
11,11,"NORMAL","Efesios 4:11-16",""
11,12,"NORMAL","Juan 13:34-35",""
11,13,"NORMAL","Gálatas 6:1-2",""
11,14,"DOMINGO","","Reflexión: Los dones en la comunidad y el Cuerpo de Cristo."
11,15,"NORMAL","1 Tesalonicenses 5:11",""
11,16,"NORMAL","Proverbios 27:6",""
11,17,"NORMAL","Santiago 5:16",""
11,18,"NORMAL","Mateo 18:15-17",""
11,19,"NORMAL","Romanos 14:19",""
11,20,"NORMAL","1 Corintios 1:10",""
11,21,"DOMINGO","","Reflexión: Resolución de conflictos en el amor."
11,22,"NORMAL","2 Corintios 13:11",""
11,23,"NORMAL","1 Juan 1:7",""
11,24,"NORMAL","Hebreos 3:12-13",""
11,25,"NORMAL","Colosenses 3:15",""
11,26,"NORMAL","Romanos 15:13",""
11,27,"NORMAL","1 Corintios 13:4-7",""
11,28,"DOMINGO","","Reflexión: La armonía, la paz y la unción de la unidad."
11,29,"NORMAL","Salmos 34:12-14",""
11,30,"NORMAL","Proverbios 17:17",""
12,1,"NORMAL","Habacuc 2:2-3",""
12,2,"NORMAL","Proverbios 16:3",""
12,3,"NORMAL","Isaías 42:9",""
12,4,"NORMAL","Efesios 3:20-21",""
12,5,"DOMINGO","","Reflexión: Escribir la visión y correr con ella."
12,6,"NORMAL","Jeremías 29:11",""
12,7,"NORMAL","Filipenses 3:13-14",""
12,8,"NORMAL","Proverbios 4:25-27",""
12,9,"NORMAL","Salmos 37:4-5",""
12,10,"NORMAL","Hechos 1:8",""
12,11,"NORMAL","Mateo 6:10",""
12,12,"NORMAL","Isaías 54:2-3",""
12,13,"DOMINGO","","Reflexión: Planificación intencional para la multiplicación."
12,14,"NORMAL","Romanos 5:5",""
12,15,"NORMAL","1 Corintios 2:9-10",""
12,16,"NORMAL","2 Pedro 3:13",""
12,17,"NORMAL","Apocalipsis 21:1-5",""
12,18,"NORMAL","Colosenses 1:9-10",""
12,19,"NORMAL","1 Corintios 3:6-9",""
12,20,"DOMINGO","","Reflexión: La fe y la paciencia para ver el cumplimiento."
12,21,"NORMAL","Isaías 43:18-19",""
12,22,"NORMAL","Lucas 12:48",""
12,23,"NORMAL","Mateo 24:14",""
12,24,"NORMAL","Proverbios 28:18",""
12,25,"NORMAL","Juan 1:12",""
12,26,"NORMAL","2 Timoteo 1:7",""
12,27,"DOMINGO","","Reflexión: Resumen del año y declaración de avance para el próximo año."
12,28,"NORMAL","Mateo 25:31-46",""
12,29,"NORMAL","Gálatas 5:1",""
12,30,"NORMAL","Hebreos 10:35-36",""
12,31,"NORMAL","Apocalipsis 22:20",""
