mes_numero,dia_numero,tipo_dia,lectura_biblica,versiculo_diario
11,2,"DOMINGO","","Reflexión: La Hechura de Dios y las Buenas Obras."
11,3,"NORMAL","Romanos 12:4-8",""
11,4,"NORMAL","1 Corintios 12:1-11",""
11,5,"NORMAL","2 Timoteo 1:9",""
11,6,"NORMAL","Jeremías 1:5",""
11,7,"NORMAL","Isaías 43:7",""
11,8,"NORMAL","Juan 15:16",""
11,9,"DOMINGO","","Reflexión: Descubriendo tu Llamado Personal y Ministerial."
11,10,"NORMAL","Mateo 25:14-30",""
11,11,"NORMAL","1 Pedro 4:10-11",""
11,12,"NORMAL","Proverbios 19:21",""
11,13,"NORMAL","Salmos 57:2",""
11,14,"NORMAL","Efesios 4:11-13",""
11,15,"NORMAL","Hebreos 10:24-25",""
11,16,"DOMINGO","","Reflexión: La Conexión entre Propósito, Fe y Obediencia."
11,17,"NORMAL","Romanos 8:28",""
11,18,"NORMAL","Proverbios 3:5-6",""
11,19,"NORMAL","Lucas 7:36-50",""
11,20,"NORMAL","Lucas 10:38-42",""
11,21,"NORMAL","Lucas 19:1-10",""
11,22,"NORMAL","Juan 1:43-51",""
11,23,"DOMINGO","","Juan 2:23-25 Reflexión: Terminando la Carrera con Gozo y Perspectiva Eterna."
11,24,"NORMAL","Juan 3:1-21",""
11,25,"NORMAL","Juan 4:1-42",""
11,26,"NORMAL","Juan 7:1-9",""
11,27,"NORMAL","Juan 8:1-11",""
11,28,"NORMAL","Juan 12:1-8",""
11,29,"NORMAL","Juan 12:20-26",""
11,30,"DOMINGO","","Juan 20:11-18 Reflexión: Revisión del Año: Dones, Frutos y Oportunidades."
12,1,"NORMAL","Juan 5:19-47",""
12,2,"NORMAL","Juan 6:25-59",""
12,3,"NORMAL","Juan 6:60-71",""
12,4,"NORMAL","Juan 8:12-20",""
12,5,"NORMAL","Juan 8:31-47",""
12,6,"NORMAL","Juan 8:48-59",""
12,7,"DOMINGO","","Juan 10:1-18 Reflexión: La Ley de la Siembra y la Cosecha."
12,8,"NORMAL","Juan 14",""
12,9,"NORMAL","Juan 15",""
12,10,"NORMAL","Juan 16",""
12,11,"NORMAL","Mateo 5",""
12,12,"NORMAL","Mateo 6",""
12,13,"NORMAL","Mateo 7",""
12,14,"DOMINGO","","Mateo 13:1-52 Reflexión: El Discipulado como Única Multiplicación."
12,15,"NORMAL","Mateo 15:1-20",""
12,16,"NORMAL","Mateo 20:1-16",""
12,17,"NORMAL","Mateo 20:20-28",""
12,18,"NORMAL","Mateo 25:1-13",""
12,19,"NORMAL","Mateo 25:14-30",""
12,20,"NORMAL","Mateo 25:31-46",""
12,21,"DOMINGO","","Marcos 11:1-11 Reflexión: Celebrando el Legado y la Influencia."
12,22,"NORMAL","Marcos 12:28-34",""
12,23,"NORMAL","Lucas 10:25-37",""
12,24,"NORMAL","Lucas 12:35-48",""
12,25,"NORMAL","Lucas 15:8-32",""
12,26,"NORMAL","Lucas 16:1-15",""
12,27,"NORMAL","Lucas 17:5-10",""
12,28,"DOMINGO","","Lucas 20:1-8 Reflexión: Planificando 2026: Una Visión de Avivamiento."
12,29,"NORMAL","Marcos 14",""
12,30,"NORMAL","Marcos 15",""
12,31,"NORMAL","Marcos 16",""
